Rk;Team;PTS1;PTS2;PTS3;PTS4;PTS5;PTS6
1;Washington Bullets;101.4;103.9;103.6;104.5;105.4;108.7
2;Utah Jazz*;104.0;112.2;109.6;108.6;114.3;113.3
3;Seattle SuperSonics*;106.6;110.7;112.3;111.1;114.8;110.3
4;San Antonio Spurs*;107.1;107.5;109.6;110.4;111.7;110.2
5;Sacramento Kings;96.7;103.9;106.5;103.3;105.5;106.2
6;Portland Trail Blazers*;114.7;111.4;108.3;108.1;109.7;106.0
7;Phoenix Suns*;114.0;112.1;113.3;111.7;114.5;110.3
8;Philadelphia 76ers*;105.4;108.3;104.6;101.7;104.1;102.2
9;Orlando Magic;105.9;103.5;108.5;110.8;115.1;112.9
10;New York Knicks*;103.1;108.3;106.1;105.7;107.2;106.0
11;New Jersey Nets;102.9;107.0;106.5;107.2;105.2;101.9
12;Minnesota Timberwolves;99.6;105.0;103.6;101.9;102.6;104.1
13;Milwaukee Bucks*;106.4;108.8;106.2;102.5;106.2;105.6
14;Miami Heat;101.8;106.7;107.7;109.5;108.2;105.3
15;Los Angeles Lakers*;106.3;107.7;107.6;104.8;109.1;111.4
16;Los Angeles Clippers;103.5;105.8;107.4;102.9;101.5;106.5
17;Indiana Pacers*;111.7;111.7;111.9;107.8;109.6;110.8
18;Houston Rockets*;106.7;106.2;109.6;105.9;109.7;109.3
19;Golden State Warriors*;116.6;113.6;109.2;108.3;106.7;108.4
20;Detroit Pistons*;100.1;107.5;107.4;102.7;105.1;107.9
21;Denver Nuggets;119.9;100.7;104.6;103.9;109.1;105.2
22;Dallas Mavericks;99.9;103.0;99.5;100.4;107.6;106.1
23;Cleveland Cavaliers;101.7;113.9;112.7;109.4;105.3;109.9
24;Chicago Bulls*;110.0;115.5;112.9;106.1;109.5;115.2
25;Charlotte Hornets;102.8;107.1;109.5;108.4;109.6;111.2
26;Boston Celtics*;111.5;110.8;108.7;104.2;108.6;106.4
27;Atlanta Hawks*;109.8;107.3;109.3;107.2;106.6;109.4
